Crowdfunding - All (USD),Crowdfunding - Women (USD),Crowdfunding - Minority (USD)
43411371,4323090,50000
42665490,2545000,0
58783299,7180126,402000
42717574,4205571,28600
62131347,7288194,1543222
58389762,5772880,4194550
