Program,Minutes,
Friends,96962475889,Acquired
The Office,57127000000,Acquired
Grey's Anatomy,39405000000,Acquired
Schitt's Creek,23785000000,Acquired
Family Matters,11369944708,Acquired
I Love Lucy,9275410368,Acquired
Ozark,30462000000,Original
The Crown,16275000000,Original
The Mandalorian,14519000000,Original
