Year,Angel - Minorities,Angel - Women,Crowdfunding - Minorities,Crowdfunding - Women,VC - Women,VC - Women & Men Mixed Cofounders,VC - Black and Latinx
2015,1.50%,12.26%,0.12%,9.96%,2.04%,12.06%,1.75%
2016,2.99%,17.44%,0.00%,5.97%,1.62%,10.68%,2.07%
2017,3.60%,17.54%,0.68%,12.21%,2.56%,15.29%,3.37%
2018,0.91%,7.61%,0.07%,9.85%,2.15%,11.51%,2.90%
2019,2.26%,10.58%,2.48%,11.73%,2.48%,14.20%,2.26%
2020,3.43%,2.05%,7.18%,9.89%,2.13%,12.27%,2.60%
