Year,Angel - Women,Angel - Minorities,Crowdfunding - Women,Crowdfunding - Minorities,VC - Women,VC - Black and Latinx,VC - Women & Men Mixed Cofounders
2015,12.26%,1.50%,9.96%,0.12%,2.04%,1.75%,12.06%
2016,17.44%,2.99%,5.97%,0.00%,1.62%,2.07%,10.68%
2017,17.54%,3.60%,12.21%,0.68%,2.56%,3.37%,15.29%
2018,7.61%,0.91%,9.85%,0.07%,2.15%,2.90%,11.51%
2019,10.58%,2.26%,11.73%,2.48%,2.48%,2.26%,14.20%
2020,2.05%,3.43%,9.89%,7.18%,2.13%,2.60%,12.27%
