Year,Viewers
1996,30790000
1997,34100000
1998,25400000
1999,28530000
2000,29800000
2001,24500000
2002,26120000
2003,25730000
2004,27320000
2005,31170000
2006,30580000
2007,28800000
2008,25530000
2009,22970000
2010,23950000
2011,19500000
2012,20070000
2013,21420000
2014,20690000
2015,21300000
2016,19630000
2017,17580000
2018,18800000
2019,19960000
