year,budget
2013," $2,400,000,000 "
2015," $4,900,000,000 "
2017," $8,900,000,000 "
2018," $12,040,000,000 "
2019," $15,300,000,000 "
2020," $17,300,000,000 "
2021," $19,030,000,000 "
