Boro Code	Boro Name	County Fips	Ntacode	Ntaname	Shape Area	Shape Leng	Geometry
2	Bronx	005	BX43	Norwood	15724928.3207	22150.3082205	MultiPolygon
2	Bronx	005	BX05	Bedford Park-Fordham North	14998883.4758	22565.481193	MultiPolygon
2	Bronx	005	BX03	Eastchester-Edenwald-Baychester	40256794.2545	59164.9993069	MultiPolygon
2	Bronx	005	BX13	Co-op City	39833695.0031	30327.1281411	MultiPolygon
2	Bronx	005	BX17	East Tremont	19255162.7273	29633.1365327	MultiPolygon
3	Brooklyn	047	BK17	Sheepshead Bay-Gerritsen Beach-Manhattan Beach	63341499.7731	91051.0337308	MultiPolygon
3	Brooklyn	047	BK19	Brighton Beach	17180137.7598	21060.1696642	MultiPolygon
4	Queens	081	QN10	Breezy Point-Belle Harbor-Rockaway Park-Broad Channel	99436037.0363	114095.11999	MultiPolygon
4	Queens	081	QN12	Hammels-Arverne-Edgemere	61894959.511	83804.7314106	MultiPolygon
5	Staten Island	085	SI08	Grymes Hill-Clifton-Fox Hills	37752553.3783	37119.8996244	MultiPolygon
4	Queens	081	QN03	Springfield Gardens South-Brookville	43288489.6495	45322.1230855	MultiPolygon
4	Queens	081	QN05	Rosedale	61569261.1514	64163.7233951	MultiPolygon
5	Staten Island	085	SI37	Stapleton-Rosebank	46432646.3251	55208.9369737	MultiPolygon
5	Staten Island	085	SI25	Oakwood-Oakwood Beach	55961883.7536	44299.0322629	MultiPolygon
5	Staten Island	085	SI45	New Dorp-Midland Beach	55429451.1208	34336.5209048	MultiPolygon
3	Brooklyn	047	BK90	East Williamsburg	39132793.8204	49247.0269687	MultiPolygon
5	Staten Island	085	SI14	Grasmere-Arrochar-Ft. Wadsworth	40925777.4945	39940.2755343	MultiPolygon
4	Queens	081	QN70	Astoria	39335513.5876	32534.7384018	MultiPolygon
5	Staten Island	085	SI36	Old Town-Dongan Hills-South Beach	67009381.2747	41971.5825515	MultiPolygon
4	Queens	081	QN15	Far Rockaway-Bayswater	54160419.8772	48684.4167963	MultiPolygon
3	Brooklyn	047	BK38	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill	28477918.5654	32542.899936	MultiPolygon
3	Brooklyn	047	BK45	Georgetown-Marine Park-Bergen Beach-Mill Basin	69463730.9832	91993.5647903	MultiPolygon
3	Brooklyn	047	BK99	park-cemetery-etc-Brooklyn	228839409.837	394685.418858	MultiPolygon
2	Bronx	005	BX49	Pelham Parkway	23032576.1419	25823.0368861	MultiPolygon
2	Bronx	005	BX99	park-cemetery-etc-Bronx	220841105.286	223443.676824	MultiPolygon
1	Manhattan	061	MN50	Stuyvesant Town-Cooper Village	5582283.01555	12021.7903016	MultiPolygon
2	Bronx	005	BX37	Van Nest-Morris Park-Westchester Square	36302379.2565	42870.3928034	MultiPolygon
3	Brooklyn	047	BK33	Carroll Gardens-Columbia Street-Red Hook	44601379.2315	60820.884163	MultiPolygon
3	Brooklyn	047	BK76	Greenpoint	35321995.7927	28914.3549129	MultiPolygon
1	Manhattan	061	MN20	Murray Hill-Kips Bay	14485874.7728	24491.3105701	MultiPolygon
1	Manhattan	061	MN04	Hamilton Heights	16096135.9589	17411.3817116	MultiPolygon
4	Queens	081	QN46	Bayside-Bayside Hills	80798589.9493	43020.7879368	MultiPolygon
2	Bronx	005	BX14	East Concourse-Concourse Village	18222401.6418	27223.8471825	MultiPolygon
2	Bronx	005	BX63	West Concourse	19379817.3597	28499.0446439	MultiPolygon
1	Manhattan	061	MN36	Washington Heights South	23092823.9817	22106.4236458	MultiPolygon
1	Manhattan	061	MN35	Washington Heights North	22667347.4075	26683.663268	MultiPolygon
1	Manhattan	061	MN09	Morningside Heights	20155865.4461	20746.0584556	MultiPolygon
1	Manhattan	061	MN33	East Harlem South	16650687.5711	18624.6648078	MultiPolygon
1	Manhattan	061	MN19	Turtle Bay-East Midtown	17389163.8259	21124.0541871	MultiPolygon
4	Queens	081	QN31	Hunters Point-Sunnyside-West Maspeth	102421815.209	74592.1426116	MultiPolygon
5	Staten Island	085	SI07	Westerleigh	63253932.165	41658.0970785	MultiPolygon
4	Queens	081	QN98	Airport	228199205.622	136232.037479	MultiPolygon
1	Manhattan	061	MN31	Lenox Hill-Roosevelt Island	21508615.7643	39424.2257068	MultiPolygon
4	Queens	081	QN71	Old Astoria	15619597.0682	19366.2170192	MultiPolygon
1	Manhattan	061	MN99	park-cemetery-etc-Manhattan	91543352.4533	155354.846681	MultiPolygon
4	Queens	081	QN72	Steinway	57724460.8646	43563.1489927	MultiPolygon
4	Queens	081	QN47	Ft. Totten-Bay Terrace-Clearview	46292591.442	39625.8426939	MultiPolygon
5	Staten Island	085	SI05	New Springville-Bloomfield-Travis	327768572.857	109207.918417	MultiPolygon
5	Staten Island	085	SI24	Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill	184881509.085	75942.0025573	MultiPolygon
1	Manhattan	061	MN11	Central Harlem South	14439304.6396	16621.0233368	MultiPolygon
1	Manhattan	061	MN34	East Harlem North	24494898.4181	30603.7188842	MultiPolygon
3	Brooklyn	047	BK34	Sunset Park East	27110066.4579	25901.8257638	MultiPolygon
4	Queens	081	QN22	Flushing	37865073.0677	38362.7281454	MultiPolygon
4	Queens	081	QN49	Whitestone	69050705.9085	62139.0472123	MultiPolygon
4	Queens	081	QN02	Springfield Gardens North	28432652.7391	25437.0618659	MultiPolygon
4	Queens	081	QN76	Baisley Park	44038576.4431	31478.4381297	MultiPolygon
4	Queens	081	QN42	Oakland Gardens	51009679.3418	42410.067721	MultiPolygon
4	Queens	081	QN99	park-cemetery-etc-Queens	311688895.037	490742.022293	MultiPolygon
2	Bronx	005	BX30	Kingsbridge Heights	13163119.0745	21108.8106723	MultiPolygon
3	Brooklyn	047	BK31	Bay Ridge	67181046.7913	44375.5667672	MultiPolygon
3	Brooklyn	047	BK32	Sunset Park West	49990015.9756	83323.5060671	MultiPolygon
4	Queens	081	QN56	Ozone Park	25016839.186	24731.6990843	MultiPolygon
4	Queens	081	QN57	Lindenwood-Howard Beach	64558946.5305	79085.800116	MultiPolygon
2	Bronx	005	BX36	University Heights-Morris Heights	21255485.4646	24100.4320396	MultiPolygon
5	Staten Island	085	SI35	New Brighton-Silver Lake	47137243.9734	30320.3749733	MultiPolygon
5	Staten Island	085	SI22	West New Brighton-New Brighton-St. George	56030445.1294	66054.2514844	MultiPolygon
