Show Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Living Single,,,,,"9,300,000","8,700,000","6,500,000","6,200,000","7,000,000",
Family Matters,,"14,709,800","12,433,500","11,730,600","12,208,320","11,066,400","10,069,500","13,730,000",,
Friends,,,,,,"14,882,400","17,933,300","16,296,000","15,778,000","15,605,800"
#1 Show of the Year,"21,275,100","19,830,300","20,169,900","20,388,900","19,687,800","19,652,400","21,098,000","20,564,000","21,266,000","17,693,200"
