Show,Viewership
I Love Lucy ('51-'57),"14,171,367"
Family Matters ('89-'97),"12,278,303"
Living Single ('93-'97),"7,540,000"
Friends ('94-'04),"19,329,550"
The Office ('05-'13),"7,411,111"
Game of Thrones ('11-'19),"6,868,750"
