Year,Crowdfunding - All (USD),Crowdfunding - Women (USD),Crowdfunding - Minority (USD)
2015,43411371,4323090,50000
2016,42665490,2545000,0
2017,58783299,7180126,402000
2018,42717574,4205571,28600
2019,62131347,7288194,1543222
2020,58389762,5772880,4194550
