Show,Viewership
"I Love Lucy
('51-'57)",14171367
"Family Matters
('89-'97)",12278303
"Living Single
('93-'97)",7540000
"Friends
('94-'04)",19329550
"The Office
('05-'13)",7411111
"Game of Thrones
('11-'19)",6868750
