Year,Viewers,
1996,30.79,
1997,34.1,
1998,25.4,
1999,28.53,
2000,29.8,
2001,24.5,
2002,26.12,
2003,25.73,
2004,27.32,
2005,31.17,
2006,30.58,
2007,28.8,
2008,25.53,
2009,22.97,
2010,23.95,
2011,19.5,
2012,20.07,
2013,21.42,
2014,20.69,
2015,21.3,
2016,19.63,
2017,17.58,
2018,18.8,
2019,19.96,
